UUID	Hostname	Date	Critical Log
97e46a4d-fe9e-4bad-b6b8-c2055dd7ed82	shire	2025-11-10	Nov 06 14:22:37 shire login[81411]: PAM unable to dlopen(pam_lastlog.so): /usr/lib/security/pam_lastlog.so: cannot open shared object file: No such file or directory
97e46a4d-fe9e-4bad-b6b8-c2055dd7ed82	shire	2025-11-10	Nov 06 14:22:37 shire login[81411]: PAM adding faulty module: pam_lastlog.so
97e46a4d-fe9e-4bad-b6b8-c2055dd7ed82	shire	2025-11-10	Nov 06 14:25:30 shire login[81501]: PAM unable to dlopen(pam_lastlog.so): /usr/lib/security/pam_lastlog.so: cannot open shared object file: No such file or directory
97e46a4d-fe9e-4bad-b6b8-c2055dd7ed82	shire	2025-11-10	Nov 06 14:25:30 shire login[81501]: PAM adding faulty module: pam_lastlog.so
97e46a4d-fe9e-4bad-b6b8-c2055dd7ed82	shire	2025-11-10	Nov 10 10:48:44 shire login[115451]: PAM unable to dlopen(pam_lastlog.so): /usr/lib/security/pam_lastlog.so: cannot open shared object file: No such file or directory
97e46a4d-fe9e-4bad-b6b8-c2055dd7ed82	shire	2025-11-10	Nov 10 10:48:44 shire login[115451]: PAM adding faulty module: pam_lastlog.so
97e46a4d-fe9e-4bad-b6b8-c2055dd7ed82	shire	2025-11-10	Nov 10 10:51:03 shire login[115631]: PAM unable to dlopen(pam_lastlog.so): /usr/lib/security/pam_lastlog.so: cannot open shared object file: No such file or directory
97e46a4d-fe9e-4bad-b6b8-c2055dd7ed82	shire	2025-11-10	Nov 10 10:51:03 shire login[115631]: PAM adding faulty module: pam_lastlog.so
97e46a4d-fe9e-4bad-b6b8-c2055dd7ed82	shire	2025-11-10	Nov 10 11:23:34 shire login[115953]: PAM unable to dlopen(pam_lastlog.so): /usr/lib/security/pam_lastlog.so: cannot open shared object file: No such file or directory
97e46a4d-fe9e-4bad-b6b8-c2055dd7ed82	shire	2025-11-10	Nov 10 11:23:34 shire login[115953]: PAM adding faulty module: pam_lastlog.so
97e46a4d-fe9e-4bad-b6b8-c2055dd7ed82	shire	2025-11-10	Nov 10 11:25:10 shire login[116044]: PAM unable to dlopen(pam_lastlog.so): /usr/lib/security/pam_lastlog.so: cannot open shared object file: No such file or directory
97e46a4d-fe9e-4bad-b6b8-c2055dd7ed82	shire	2025-11-10	Nov 10 11:25:10 shire login[116044]: PAM adding faulty module: pam_lastlog.so
97e46a4d-fe9e-4bad-b6b8-c2055dd7ed82	shire	2025-11-10	No pending updates
adf784e4-92a5-4d6e-bcbb-18e3dcdf7481	dev-svr03	2025-11-10	Nov 10 08:07:24 dev-svr03 auditd[8468]: plugin /usr/sbin/sedispatch terminated unexpectedly
adf784e4-92a5-4d6e-bcbb-18e3dcdf7481	dev-svr03	2025-11-10	Nov 10 08:07:24 dev-svr03 systemd[1]: Failed to start auditd.service - Security Audit Logging Service.
adf784e4-92a5-4d6e-bcbb-18e3dcdf7481	dev-svr03	2025-11-10	░░ Subject: A start job for unit auditd.service has failed
adf784e4-92a5-4d6e-bcbb-18e3dcdf7481	dev-svr03	2025-11-10	░░ Defined-By: systemd
adf784e4-92a5-4d6e-bcbb-18e3dcdf7481	dev-svr03	2025-11-10	░░ Support: https://lists.freedesktop.org/mailman/listinfo/systemd-devel
adf784e4-92a5-4d6e-bcbb-18e3dcdf7481	dev-svr03	2025-11-10	░░
adf784e4-92a5-4d6e-bcbb-18e3dcdf7481	dev-svr03	2025-11-10	░░ A start job for unit auditd.service has finished with a failure.
adf784e4-92a5-4d6e-bcbb-18e3dcdf7481	dev-svr03	2025-11-10	░░
adf784e4-92a5-4d6e-bcbb-18e3dcdf7481	dev-svr03	2025-11-10	░░ The job identifier is 14217 and the job result is failed.
adf784e4-92a5-4d6e-bcbb-18e3dcdf7481	dev-svr03	2025-11-10	Nov 10 08:08:54 dev-svr03 auditd[8506]: plugin /usr/sbin/sedispatch terminated unexpectedly
adf784e4-92a5-4d6e-bcbb-18e3dcdf7481	dev-svr03	2025-11-10	Nov 10 08:08:55 dev-svr03 systemd[1]: Failed to start auditd.service - Security Audit Logging Service.
adf784e4-92a5-4d6e-bcbb-18e3dcdf7481	dev-svr03	2025-11-10	░░ Subject: A start job for unit auditd.service has failed
adf784e4-92a5-4d6e-bcbb-18e3dcdf7481	dev-svr03	2025-11-10	░░ Defined-By: systemd
adf784e4-92a5-4d6e-bcbb-18e3dcdf7481	dev-svr03	2025-11-10	░░ Support: https://lists.freedesktop.org/mailman/listinfo/systemd-devel
adf784e4-92a5-4d6e-bcbb-18e3dcdf7481	dev-svr03	2025-11-10	░░
adf784e4-92a5-4d6e-bcbb-18e3dcdf7481	dev-svr03	2025-11-10	░░ A start job for unit auditd.service has finished with a failure.
adf784e4-92a5-4d6e-bcbb-18e3dcdf7481	dev-svr03	2025-11-10	░░
adf784e4-92a5-4d6e-bcbb-18e3dcdf7481	dev-svr03	2025-11-10	░░ The job identifier is 14227 and the job result is failed.
adf784e4-92a5-4d6e-bcbb-18e3dcdf7481	dev-svr03	2025-11-10	No pending updates
df514d74-d3d4-45dc-956b-d44bfd49ab1f	dev-svr	2025-11-10	-- No entries --
df514d74-d3d4-45dc-956b-d44bfd49ab1f	dev-svr	2025-11-10	No pending updates
